

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T07:55:14PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
9890|MCG -05-14-008| 84.02092 | -32.91450 |G|  4669| 0.015574 |    |15   |  0.000|9|0|13|2|1|3|0
9891|LDCE 0401| 84.04792 |  22.60806 |GTrpl|  5679| 0.018943 |    |     |  0.000|1|0|0|0|1|0|0
9892|2MASX J05361263-1514382| 84.05258 | -15.24394 |G|  3159| 0.010537 |    |15.6b|  0.000|5|0|13|0|1|2|0
9893|UGC 03328| 84.07088 |   7.32628 |G|  3863| 0.012886 |    |15.0 |  0.000|24|0|19|1|3|7|0
9894|UGC 03329| 84.13575 |  16.64886 |G|  5253| 0.017522 |    |11.9B|  0.000|59|0|23|1|2|7|0
9895|2MASX J05363519+5018465| 84.14658 |  50.31286 |G|  5906| 0.019700 |    |17.58|  0.000|12|0|18|1|1|2|0
9896|ESO 554- G 019| 84.19442 | -22.40642 |G|  4895| 0.016328 |    |14.33|  0.000|24|1|28|3|3|17|0
9897|UGC 03330| 84.19554 |  14.42283 |G|  5238| 0.017472 |    |17.  |  0.000|16|0|12|1|1|3|0
9898|2MASX J05365074-6049025| 84.21129 | -60.81733 |G|  4700| 0.015678 |    |14.60|  0.000|6|0|17|2|0|2|0
9899|MCG -03-15-006| 84.22156 | -15.20410 |G|  3207| 0.010698 |    |14.1b|  0.000|12|0|15|2|2|6|0
9900|2MASX J05365917+1614426| 84.24658 |  16.24525 |G|  4951| 0.016515 |    |10.1K|  0.000|1|0|9|0|1|2|1
9901|ESO 363- G 011| 84.25917 | -34.63472 |G|  4708| 0.015704 |    |15.99|  0.000|9|0|12|2|2|12|0
9902|2MASX J05370993-1823190| 84.29138 | -18.38869 |G|  3176| 0.010594 |    |15.6R|  0.000|3|0|9|0|1|2|0
9903|2MASX J05371082+1439457| 84.29508 |  14.66275 |G|  5348| 0.017839 |    |9.91K|  0.000|2|0|9|0|1|2|0
9904|2MASX J05372770+0949438| 84.36538 |   9.82889 |G|  5084| 0.016958 |    |     |  0.000|6|0|13|0|1|2|1
9905|2MASS J05374294-7014175| 84.42851 | -70.23775 |VisS|  5996| 0.020000 |PHOT|17.8V|  0.000|1|0|0|0|1|0|0
9906|2MASX J05374685+5409457| 84.44525 |  54.16272 |G|  5392| 0.017986 |    |10.8K|  0.000|11|0|15|2|1|2|0
9907|2MASX J05380286+1615240| 84.51196 |  16.25667 |G|  5245| 0.017495 |    |9.03K|  0.000|7|0|13|2|1|2|0
9908|2MASS J05381081-7206183| 84.54523 | -72.10507 |VisS|  5996| 0.020000 |PHOT|14.9V|  0.000|1|0|0|0|2|0|0
9909|UGC 03320| 84.59750 |  79.58692 |G|  4739| 0.015808 |    |15.30|  0.000|27|0|26|4|3|7|0
9910|2MASX J05382503-3444237| 84.60442 | -34.73994 |G|  4670| 0.015577 |    |14.2R|  0.000|6|0|14|2|2|2|0
9911|2MASS J05382563-7251252| 84.60676 | -72.85701 |VisS|  5996| 0.020000 |PHOT|17.7V|  0.000|1|0|0|0|1|0|0
9912|HIPASS J0538-14| 84.63167 | -14.96917 |G|  3417| 0.011397 |    |     |  0.000|2|0|1|0|1|0|0
9913|ESO 086- G 019| 84.65425 | -63.59206 |G|  4595| 0.015327 |    |15.31|  0.000|5|0|19|3|1|13|1
9914|2MASS J05384962-7229530| 84.70667 | -72.49818 |VisS|  5996| 0.020000 |PHOT|17.4V|  0.000|1|0|0|0|1|0|0
9915|2MASX J05385602-6304028| 84.73346 | -63.06744 |G|  5688| 0.018973 |    |13.1I|  0.000|4|0|9|0|1|2|1
9916|UGC 03332| 84.76421 |  15.57544 |G|  5817| 0.019403 |    |16.5 |  0.000|22|0|17|2|2|5|0
9917|MCG -03-15-007| 84.81437 | -17.02494 |G|  4302| 0.014350 |    |15   |  0.000|10|0|9|1|2|5|0
9918|ESO 424- G 005| 84.83962 | -29.37261 |G|  3859| 0.012872 |    |15   |  0.000|14|3|19|3|1|14|0
9919|AM 0537-292B| 84.84325 | -29.38367 |G|  3780| 0.012609 |    |14.91|  0.000|9|0|10|0|1|9|0
9920|2MFGC 04604| 84.89554 | -83.38228 |G|  5065| 0.016895 |    |12.6K|  0.000|3|0|17|1|1|2|0
9921|UGC 03326| 84.90458 |  77.31247 |G|  4121| 0.013746 |    |15.30|  0.000|56|3|30|4|4|6|0
9922|2MASS J05401058-7211257| 85.04243 | -72.19089 |VisS|  5996| 0.020000 |PHOT|17.9V|  0.000|1|0|0|0|1|0|0
9923|MCG -03-15-008| 85.07453 | -17.83614 |G|  3045| 0.010157 |    |15.5 |  0.000|6|0|9|1|1|4|0
9924|2MASX J05402955+1609559| 85.12313 |  16.16558 |G|  5700| 0.019013 |    |10.4K|  0.000|2|0|9|0|1|2|0
9925|HIPASS J0540-01| 85.14625 |  -1.36167 |G|  5352| 0.017852 |    |     |  0.000|2|0|1|0|1|0|0
9926|2MASX J05403895-7045118| 85.16229 | -70.75331 |G|  4497| 0.015000 |    |16.8b|  0.000|2|0|9|0|2|2|0
9927|2MASX J05403911-7033528| 85.16242 | -70.56464 |G|  4555| 0.015194 |    |19.2b|  0.000|1|0|9|0|1|2|0
9928|UGC 03338| 85.16621 |  16.46119 |G|  4864| 0.016225 |    |16.5 |  0.000|15|0|15|2|1|5|0
9929|MCG +08-11-002| 85.18212 |  49.69486 |G|  5743| 0.019157 |    |16   |  0.000|34|0|25|3|2|4|0
9930|2MASS J05405243-7203394| 85.21596 | -72.06091 |VisS|  5996| 0.020000 |PHOT|15.7V|  0.000|1|0|0|0|1|0|0
9931|NGC 2144| 85.23829 | -82.11939 |G|  4774| 0.015924 |    |13.90|  0.000|17|1|22|4|0|16|0
9932|ESO 554- G 024| 85.33329 | -18.27786 |G|  3276| 0.010928 |    |14.25|  0.000|28|1|31|2|5|17|0
9933|2MASX J05413481+5059005| 85.39508 |  50.98344 |G|  5970| 0.019914 |    |15.78|  0.000|10|0|13|1|1|2|0
9934|UGC 03341| 85.48146 |  18.49236 |G|  4570| 0.015244 |    |15.5 |  0.000|26|0|19|3|4|5|0
9935|2MASX J05420239-7054159| 85.50992 | -70.90444 |G|  4271| 0.014247 |    |16.3b|  0.000|4|0|9|0|1|2|0
9936|NGC 1961| 85.51937 |  69.37844 |G|  3934| 0.013122 |    |10.9B|  0.000|238|9|72|8|9|8|0
9937|HDCE 0367| 85.53417 |  16.33167 |GGroup|  5730| 0.019113 |    |     |  0.000|1|0|0|0|1|0|0
9938|2MASX J05421335+1512570| 85.55558 |  15.21578 |G|  5460| 0.018213 |    |10.7K|  0.000|9|0|14|1|2|2|0
9939|MCG +13-05-003| 85.57888 |  77.15144 |G|  4267| 0.014233 |    |16   |  0.000|5|0|9|1|1|3|0
9940|LDCE 0406| 85.58417 |  50.68111 |GGroup|  5833| 0.019457 |    |     |  0.000|1|0|0|0|1|0|0
9941|2MASS J05423195-7235041| 85.63269 | -72.58486 |VisS|  5996| 0.020000 |PHOT|15.0V|  0.000|1|0|0|0|1|0|0
9942|CGCG 329-009| 85.65383 |  69.23661 |G|  3872| 0.012916 |    |15.6 |  0.000|20|0|12|1|0|2|0
9943|ESO 086- G 023| 85.67004 | -65.81106 |G|  5820| 0.019414 |    |14.7 |  0.000|6|1|17|1|1|13|0
9944|CGCG 329-010| 85.71952 |  69.89270 |G|  4016| 0.013396 |    |15.25|  0.000|22|1|24|3|3|4|0
9945|HDCE 0368| 85.72167 |  51.00944 |GTrpl|  5871| 0.019584 |    |     |  0.000|1|0|0|0|1|0|0
9946|2MASX J05425563+5050381| 85.73188 |  50.84394 |G|  5736| 0.019133 |    |11.2K|  0.000|2|0|13|1|1|2|0
9947|ESO 424- G 010 NED02| 85.73197 | -29.73141 |G|  3892| 0.012982 |    |     |  0.000|2|0|9|0|1|2|0
9948|ESO 424- G 010 NED01| 85.73438 | -29.73056 |VisS|  3833| 0.012786 |    |13.4R|  0.000|5|0|0|0|2|0|0
9949|ESO 424- G 010| 85.73442 | -29.73053 |GGroup|  3842| 0.012816 |    |14.5 |  0.000|10|1|11|4|0|12|0
9950|2MASS J05430017-6822476| 85.75021 | -68.37990 |VisS|  5996| 0.020000 |PHOT|15.1V|  0.000|1|0|0|0|1|0|0
9951|2MASX J05430236+1620591| 85.75992 |  16.34972 |G|  5500| 0.018346 |    |10.7K|  0.000|2|0|9|0|1|2|0
9952|2MASX J05430552+0037134| 85.77304 |   0.62033 |G|  4318| 0.014403 |    |12.9I|  0.000|16|0|19|2|1|2|0
9953|2MASX J05430589-2040137| 85.77442 | -20.67046 |G|  3132| 0.010447 |    |15.92|  0.000|4|0|13|2|1|2|0
9954|ESO 554-IG 027| 85.77550 | -20.52133 |G|  3045| 0.010157 |    |14.10|  0.000|16|1|26|3|3|16|0
9955|UGC 03348| 85.81096 |  16.50197 |G|  5171| 0.017249 |    |16.0 |  0.000|15|0|16|1|2|5|0
9956|2MASX J05431981-6216411| 85.83237 | -62.27803 |G|  4299| 0.014340 |    |10.4K|  0.000|1|0|9|0|1|2|0
9957|CGCG 329-011| 85.84596 |  69.43097 |G|  4108| 0.013703 |    |14.8 |  0.000|17|0|21|2|1|2|0
9958|2MASX J05432334+7456021| 85.84725 |  74.93394 |G|  4777| 0.015934 |    |11.3K|  0.000|2|0|17|1|1|2|0
9959|2MASX J05432878-0138168| 85.86987 |  -1.63797 |G|  5480| 0.018279 |    |19.1r|  0.000|0|0|9|0|1|2|0
9960|2MASX J05433340-3928170| 85.88908 | -39.47147 |G|  4639| 0.015474 |    |13.9R|  0.000|5|0|13|0|2|2|0
9961|2MASX J05433546-7108317| 85.89792 | -71.14211 |G|  5508| 0.018373 |    |9.69K|  0.000|2|0|9|0|1|2|0
9962|CGCG 307-021| 85.91557 |  68.94521 |G|  3867| 0.012899 |    |14.9 |  0.000|12|0|18|4|1|6|0
9963|ESO 306- G 024| 85.92842 | -41.18106 |G|  4381| 0.014613 |    |16.62|  0.000|4|1|12|1|1|12|0
9964|HIPASS J0543-01| 85.94208 |  -1.58972 |G|  5408| 0.018040 |    |     |  0.000|2|0|1|0|1|0|0
9965|NGC 1961 GROUP| 85.96560 |  69.30261 |GGroup|  4180| 0.013943 |    |     |  0.000|6|0|0|0|1|0|0
9966|2MASX J05440202+0943243| 86.00846 |   9.72342 |G|  3799| 0.012672 |    |10.8K|  0.000|1|0|9|0|1|2|0
9967|2MFGC 04647| 86.03308 |   4.22278 |G|  3537| 0.011799 |    |11.4K|  0.000|5|0|9|0|1|2|0
9968|UGC 03346| 86.04133 |  51.20036 |G|  5946| 0.019834 |    |14.8 |  0.000|19|1|24|3|4|7|0
9969|2MASX J05441004+1653210| 86.04192 |  16.88917 |G|  5842| 0.019487 |    |10.7K|  0.000|2|0|9|0|1|2|0
9970|NGC 2087| 86.06679 | -55.53244 |G|  4470| 0.014910 |    |14.65|  0.000|16|3|30|3|0|16|0
9971|UGC 03342| 86.12358 |  69.29897 |G|  3974| 0.013256 |    |15.20|  0.000|41|1|30|2|3|6|0
9972|ESO 159- G 027| 86.12496 | -55.66214 |G|  4456| 0.014864 |    |15.43|  0.000|6|1|21|1|2|16|0
9973|CGCG 347-019| 86.13826 |  79.58931 |G|  4402| 0.014683 |    |15.7 |  0.000|6|0|14|2|0|2|0
9974|2MASX J05444416+1648501| 86.18404 |  16.81394 |G|  5849| 0.019510 |    |9.76K|  0.000|7|0|10|0|1|2|0
9975|UGC 03352| 86.20367 |  16.77394 |G|  5403| 0.018022 |    |16.0 |  0.000|17|1|15|2|3|5|0
9976|HIPASS J0544-65| 86.22250 | -65.75244 |G|  4421| 0.014748 |    |     |  0.000|3|0|1|0|1|0|0
9977|UGC 03344| 86.23600 |  69.15931 |G|  4282| 0.014283 |    |14.2 |  0.000|32|1|29|3|2|6|0
9978|2MFGC 04655| 86.23808 |  16.77808 |G|  5531| 0.018449 |    |11.4K|  0.000|3|0|9|0|1|2|0
9979|2MASX J05450678+6248280| 86.27841 |  62.80788 |G|  4285| 0.014293 |    |16.34|  0.000|2|0|12|1|1|2|0
9980|ESO 016- G 011| 86.27912 | -79.39214 |G|  5271| 0.017582 |    |15.54|  0.000|3|1|19|2|1|13|0
9981|2MFGC 04659| 86.33388 |  14.79267 |G|  5468| 0.018239 |    |11.1K|  0.000|3|0|9|0|1|2|0
9982|2MASX J05452906-5938076| 86.37113 | -59.63547 |G|  4336| 0.014463 |    |16.7b|  0.000|1|0|17|0|1|2|0
9983|2MASX J05453448+1453595| 86.39367 |  14.89981 |G|  5537| 0.018469 |    |9.66K|  0.000|2|0|10|0|1|2|0
9984|CGCG 307-022| 86.40771 |  64.03029 |G|  4281| 0.014280 |    |15.3 |  0.000|7|0|14|3|1|2|0
9985|UGC 03349 NOTES01| 86.41167 |  69.06061 |G|  4292| 0.014317 |    |15.1 |  0.000|29|1|32|4|5|5|0
9986|UGC 03350| 86.41483 |  58.60264 |G|  4382| 0.014617 |    |16.0 |  0.000|11|1|15|2|1|5|0
9987|HDCE 0370| 86.44333 |  14.92722 |GTrpl|  5460| 0.018213 |    |     |  0.000|1|0|0|0|1|0|0
9988|UGC 03351| 86.44950 |  58.70108 |G|  4455| 0.014860 |    |16.0 |  0.000|72|3|35|5|5|7|0
9989|WBL 115| 86.46664 |  69.08710 |GGroup|  4293| 0.014320 |    |     |  0.000|1|0|0|0|0|0|1
9990|2MASX J05455681+7405595| 86.48679 |  74.09983 |G|  4871| 0.016248 |    |16.2 |  0.000|11|0|14|2|0|2|0
9991|HIPASS J0546-08| 86.51000 |  -8.67528 |G|  3359| 0.011206 |    |     |  0.000|2|0|1|0|1|0|0
9992|LDCE 0409| 86.55292 |  16.61056 |GGroup|  5538| 0.018473 |    |     |  0.000|1|0|0|0|1|0|0
9993|LDCE 0410| 86.55500 |  69.17444 |GGroup|  4075| 0.013593 |    |     |  0.000|1|0|0|0|1|0|0
9994|FGCE 0527| 86.58792 | -17.38306 |G|  5738| 0.019140 | ?  |16.6 |  0.000|3|0|4|1|0|0|0
9995|2MASX J05462465+1505201| 86.60279 |  15.08892 |G|  5377| 0.017936 |    |10.9K|  0.000|2|0|9|0|1|2|0
9996|UGC 03349| 86.63187 |  69.05097 |G|  4314| 0.014390 |    |14.42|  0.000|28|1|25|3|3|7|0
9997|2MASX J05464420-6338139| 86.68421 | -63.63717 |G|  5641| 0.018816 |    |16.2b|  0.000|0|0|13|0|1|2|0
9998|IC 2143| 86.71921 | -18.72639 |G|  3051| 0.010177 |    |13.39|  0.000|41|2|34|3|7|18|0
9999|UGC 03356| 86.77392 |  17.55350 |G|  5582| 0.018620 |    |16.0 |  0.000|22|1|15|1|3|5|0
10000|HIPASS J0547+17| 86.78292 |  17.58528 |GPair|  5571| 0.018584 |    |     |  0.000|2|0|0|0|1|0|0
10001|HIPASS J0547-08| 86.78958 |  -8.94500 |G|  3318| 0.011067 |    |     |  0.000|2|0|1|0|1|0|0
10002|UGC 03356 NOTES01| 86.79658 |  17.56297 |G|  5582| 0.018620 |    |16.00|  0.000|23|0|18|1|0|2|0
10003|UGC 03354| 86.82592 |  56.11236 |G|  3085| 0.010290 |    |14.70|  0.000|37|1|26|4|4|6|0
10004|2MASX J05471906-0858496| 86.82946 |  -8.98050 |G|  3329| 0.011104 |    |20.5b|  0.000|1|0|10|0|1|2|0
10005|UGC 03340| 86.86367 |  79.63586 |G|  4439| 0.014807 |    |14.64|  0.000|23|0|25|4|3|7|0
10006|2MASX J05473192-1034115| 86.88308 | -10.56981 |G|  3276| 0.010928 |    |10.1K|  0.000|4|0|13|0|1|2|0
10007|HIPASS J0547-10| 86.88792 | -10.55667 |G|  3265| 0.010892 |    |     |  0.000|2|0|1|0|1|0|0
10008|2MASX J05473868-1035521| 86.91121 | -10.59783 |G|  3459| 0.011538 |    |18.3b|  0.000|0|0|9|0|1|2|0
10009|2MASX J05474279-7912525| 86.92850 | -79.21458 |G|  5166| 0.017233 |    |15.4b|  0.000|6|0|19|2|2|2|0
10010|FAIRALL 1302| 86.94829 | -84.77633 |G|  5937| 0.019804 |    |15.7B|  0.000|1|0|10|0|1|2|0
10011|ESO 554- G 037| 87.06796 | -19.56933 |G|  5520| 0.018413 |    |14.51|  0.000|9|0|16|3|1|15|1
10012|2MASX J05481660+0638126| 87.06917 |   6.63686 |G|  5286| 0.017632 |    |9.84K|  0.000|1|0|9|0|1|2|0
10013|UGCl 074| 87.07895 |  50.61655 |GClstr|  5783| 0.019290 |    |     |  0.000|2|0|0|0|0|0|0
10014|2MASX J05482218+3841373| 87.09262 |  38.69364 |G|  5971| 0.019917 |    |10.1K|  0.000|1|0|9|0|1|2|0
10015|CAP 0545+15| 87.10750 |  15.07278 |G|  5305| 0.017696 |    |     |  0.000|3|0|0|0|1|0|0
10016|CGCG 307-024| 87.20573 |  66.88395 |G|  5107| 0.017035 |    |15.5 |  0.000|6|0|14|3|1|2|0
10017|2MASX J05485392+1911467| 87.22471 |  19.19639 |G|  5768| 0.019240 |    |     |  0.000|8|0|14|0|2|2|0
10018|2MASX J05491927-7006514| 87.33017 | -70.11431 |G|  5573| 0.018589 |    |10.9K|  0.000|2|0|9|0|1|2|1
10019|UGC 03360| 87.33787 |  17.84108 |G|  4559| 0.015207 |    |16.0 |  0.000|20|1|18|2|2|5|0
10020|LDCE 0414| 87.36667 |  17.72528 |GTrpl|  4504| 0.015024 |    |     |  0.000|1|0|0|0|1|0|0
10021|UGC 03362| 87.38112 |  17.64917 |G|  4407| 0.014700 |    |16.0 |  0.000|23|1|20|2|5|3|0
10022|UGC 03363| 87.38146 |  17.68550 |G|  4548| 0.015170 |    |15.0 |  0.000|11|1|10|2|0|3|0
10023|2MASX J05493232+1459519| 87.38471 |  14.99772 |G|  5266| 0.017565 |    |11.3K|  0.000|1|0|9|0|1|2|0
10024|2MASX J05493394+1836051| 87.39146 |  18.60147 |G|  5902| 0.019687 |    |11.2K|  0.000|3|0|9|0|0|2|0
10025|ESO 253- G 030| 87.46996 | -43.39908 |G|  4479| 0.014940 |    |14.40|  0.000|7|0|17|1|2|17|0
10026|2MASX J05495856+1501098| 87.49408 |  15.01936 |G|  5301| 0.017682 |    |11.1K|  0.000|2|0|9|0|1|2|0
10027|2MASX J05500929-6036533| 87.53875 | -60.61486 |G|  4760| 0.015878 |    |13.4I|  0.000|3|0|13|0|1|2|0
10028|GALEXASC J055012.64+643622.2  | 87.55512 |  64.60760 |G|  4599| 0.015341 |    |     |  0.000|3|0|4|0|1|0|0
10029|UGC 03361| 87.60529 |  49.71331 |G|  3314| 0.011054 |    |14.3B|  0.000|18|0|17|2|3|7|0
10030|ESO 424- G 026| 87.67054 | -32.13764 |G|  4748| 0.015838 |    |15.74|  0.000|8|0|15|1|2|13|0
10031|HDCE 0374| 87.73625 | -17.91889 |GGroup|  3027| 0.010097 |    |     |  0.000|1|0|0|0|1|0|0
10032|2MASX J05510150-0956411| 87.75625 |  -9.94475 |G|  4849| 0.016175 |    |17.7b|  0.000|0|0|9|0|1|2|0
10033|[TSK2008] 0650| 87.78594 | -18.35279 |GGroup|  3074| 0.010254 |    |     |  0.000|1|0|0|0|1|0|0
10034|ESO 160- G 002| 87.81208 | -53.57481 |G|  4502| 0.015017 |    |13.85|  0.000|28|2|30|3|4|16|0
10035|UGC 03353| 87.82442 |  79.69619 |G|  4245| 0.014160 |    |14.58|  0.000|13|0|21|4|1|5|0
10036|IC 2150| 87.82733 | -38.32047 |G|  3119| 0.010404 |    |13.58|  0.000|34|2|33|3|3|18|0
10037|2MASX J05512335-1350225| 87.84725 | -13.83956 |G|  5099| 0.017008 |    |16.2b|  0.000|0|0|14|0|1|2|0
10038|UGC 03357| 87.85649 |  74.28331 |G|  5083| 0.016955 |    |14.90|  0.000|11|1|6|3|1|5|0
10039|2MASS J05512656-6908060| 87.86157 | -69.13496 |VisS|  5996| 0.020000 |PHOT|14.4V|  0.000|1|0|0|0|1|0|0
10040|UGC 03366| 87.86225 |  48.63825 |G|  5913| 0.019724 |    |16.5:|  0.000|18|1|21|2|2|5|0
10041|LDCE 0415| 87.86333 | -71.09139 |GGroup|  5537| 0.018469 |    |     |  0.000|1|0|0|0|1|0|0
10042|2MASX J05513296-1351495| 87.88738 | -13.86372 |G|  4961| 0.016548 |    |16.8b|  0.000|0|0|13|0|1|2|0
10043|ESO 120- G 016| 87.89687 | -59.04564 |G|  3674| 0.012255 |    |14.53|  0.000|31|2|30|3|3|16|0
10044|UGC 03368| 87.90075 |  39.82964 |G|  5198| 0.017339 |    |17.  |  0.000|22|0|16|1|3|6|0
10045|ESO 555- G 005| 87.91671 | -18.02352 |G|  3049| 0.010170 |    |15.43|  0.000|9|2|13|1|2|14|0
10046|2MASX J05514229-6955482| 87.92629 | -69.93014 |G|  4380| 0.014610 |    |10.2K|  0.000|5|0|11|0|0|2|0
10047|HDCE 0376| 87.97792 |  18.21944 |GGroup|  5363| 0.017889 |    |     |  0.000|1|0|0|0|1|0|0
10048|ESO 004- G 023| 87.99525 | -83.29717 |G|  4808| 0.016039 |    |15.45|  0.000|6|1|24|1|2|16|0
10049|2MFGC 04746| 88.03238 |  16.19867 |G|  4044| 0.013489 |    |14.83|  0.000|16|0|14|1|3|2|0
10050|UGC 03369| 88.05242 |  41.78581 |G|  4362| 0.014550 |    |17.  |  0.000|11|0|7|2|2|3|0
10051|2MASX J05521634-8123257| 88.06846 | -81.39042 |G|  3777| 0.012600 |    |13.9 |  0.000|11|2|19|2|0|2|0
10052|UGC 03365| 88.14783 |  66.81986 |G|  5151| 0.017182 |    |13.4B|  0.000|30|0|18|2|3|5|0
10053|IC 2151| 88.15179 | -17.78728 |G|  3111| 0.010377 |    |14.13|  0.000|33|2|25|3|2|18|0
10054|IRAS  05497+1246| 88.16038 |  12.78564 |GPair|  3644| 0.012155 |    |     |  0.000|9|0|5|1|1|0|0
10055|IRAS  05497+1246A| 88.16042 |  12.78889 |G|  3644| 0.012155 |    |14.34|  0.000|2|0|0|0|0|0|0
10056|2MASX J05523861+1246493| 88.16092 |  12.78039 |G|  3644| 0.012155 |    |15.68|  0.000|1|0|9|0|0|2|0
10057|ESO 120- G 019| 88.19112 | -60.92011 |G|  4820| 0.016078 |    |16.27|  0.000|2|0|10|1|1|12|0
10058|IC 0438| 88.25033 | -17.87608 |G|  3124| 0.010422 |    |12.74|  0.000|56|3|36|4|9|18|0
10059|2MASX J05530233-1144198| 88.25971 | -11.73881 |G|  3194| 0.010654 |    |13.7I|  0.000|9|0|18|2|2|2|0
10060|LDCE 0419| 88.44583 | -70.03083 |GGroup|  4467| 0.014900 |    |     |  0.000|1|0|0|0|1|0|0
10061|CGCG 307-026| 88.45440 |  66.70569 |G|  5149| 0.017175 |    |15.6 |  0.000|4|0|14|2|1|2|0
10062|UGC 03364| 88.52287 |  76.66425 |G|  4430| 0.014777 |    |16.0 |  0.000|15|0|15|1|2|7|0
10063|HIPASS J0554+18| 88.54208 |  18.01167 |G|  5726| 0.019101 |    |     |  0.000|2|0|0|0|1|0|0
10064|2MASX J05541029+1758346| 88.54283 |  17.97631 |G|  5000| 0.016678 |    |9.49K|  0.000|3|0|9|0|0|2|0
10065|UGC 03376| 88.66975 |  15.17042 |G|  3945| 0.013159 |    |15.5 |  0.000|21|0|17|3|4|5|0
10066|ESO 307-IG 002| 88.70421 | -39.76839 |G|  4809| 0.016041 |    |15.00|  0.000|7|1|21|4|1|13|0
10067|ADBS J055452+1509| 88.72000 |  15.16600 |G|  3924| 0.013089 |    |     |  0.000|2|0|0|0|0|0|0
10068|LCSB S0926P| 88.72679 |  -0.64128 |G|  4582| 0.015284 | ?  |14.7I|  0.000|4|0|11|0|2|2|0
10069|2MASX J05550466-7130304| 88.76942 | -71.50839 |G|  5555| 0.018529 |    |15.0b|  0.000|2|0|13|0|2|2|0
10070|ESO 424- G 039| 88.78860 | -29.93458 |G|  3604| 0.012022 |    |16.28|  0.000|9|0|15|2|2|11|0
10071|UGC 03375| 88.85546 |  51.91061 |G|  5783| 0.019290 |    |13.9 |  0.000|42|0|26|3|4|7|0
10072|2MASX J05552552-1402316| 88.85635 | -14.04211 |G|  5336| 0.017799 |    |15.53|  0.000|4|0|9|1|2|2|0
10073|IC 2160| 88.86900 | -76.92025 |G|  4739| 0.015809 |    |13.86|  0.000|37|1|33|4|5|17|0
10074|2MASX J05553527-0235325| 88.89696 |  -2.59242 |G|  4247| 0.014166 |    |14.1I|  0.000|6|0|14|0|3|2|0
10075|[ZBS97] A40| 88.92313 |  23.04846 |G|  5812| 0.019387 |    |     |  0.000|1|0|0|0|0|0|0
10076|UGC 03336| 88.93589 |  85.91468 |G|  5511| 0.018383 |    |15.1 |  0.000|21|0|25|2|2|7|0
10077|2MASX J05554521+1503265| 88.93833 |  15.05747 |G|  5436| 0.018133 |    |10.5K|  0.000|1|0|9|0|1|2|0
10078|NGC 2150| 88.94308 | -69.56081 |G|  4468| 0.014902 |    |14.6b|  0.000|24|1|36|3|4|16|1
10079|2MASX J05554695-1902355| 88.94577 | -19.04324 |G|  3015| 0.010058 |    |14.43|  0.000|13|0|22|3|3|2|0
10080|ESO 488- G 044| 88.96150 | -22.80686 |G|  3303| 0.011018 |    |15   |  0.000|17|0|22|1|1|16|0
10081|2MASS J05561062-7103442| 89.04428 | -71.06228 |VisS|  5996| 0.020000 |PHOT|16.3V|  0.000|1|0|0|0|1|0|0
10082|VV 601| 89.06875 |  48.54325 |G|  5757| 0.019203 |    |14.8 |  0.000|20|0|26|2|4|6|0
10083|2MFGC 04790| 89.09125 | -34.07342 |G|  4429| 0.014774 |    |15.4R|  0.000|2|0|9|0|1|2|0
10084|ESO 364- G 017| 89.10962 | -34.10214 |G|  4428| 0.014770 |    |14.09|  0.000|16|1|26|4|2|16|0
10085|AM 0554-234| 89.13383 | -23.84439 |G|  5237| 0.017469 |    |15.4R|  0.000|4|0|4|1|1|0|0
10086|ARK 121| 89.19176 |  68.74323 |G|  4125| 0.013760 |    |15.2 |  0.000|10|1|14|4|1|3|0
10087|2MFGC 04796| 89.23925 |  11.82514 |G|  3496| 0.011661 |    |11.2K|  0.000|11|0|14|1|3|2|0
10088|LDCE 0420| 89.24875 |  23.97417 |GGroup|  5126| 0.017098 |    |     |  0.000|1|0|0|0|1|0|0
10089|UGC 03372| 89.27621 |  76.50900 |G|  4993| 0.016655 |    |16.0 |  0.000|9|0|13|2|1|7|0
10090|CGCG 203-001 NED01| 89.33187 |  43.23775 |G|  3566| 0.011895 |    |     |  0.000|1|0|9|1|1|2|0
10091|CGCG 203-001| 89.33464 |  43.23875 |GPair|  3613| 0.012052 |    |15.5 |  0.000|7|0|6|3|2|0|1
10092|NGC 2119| 89.36229 |  11.94919 |G|  3585| 0.011958 |    |15.0 |  0.000|11|0|11|2|1|5|0
10093|UGC 03345| 89.37724 |  85.83622 |G|  5756| 0.019200 |    |16.5 |  0.000|13|0|15|3|1|7|0
10094|2MASX J05580621-6338035| 89.52596 | -63.63439 |G|  3960| 0.013209 |    |15.4b|  0.000|1|0|13|0|2|2|1
10095|2MASX J05580923-7134490| 89.53829 | -71.58028 |G|  5514| 0.018393 |    |15.3b|  0.000|3|0|13|0|2|2|0
10096|2MASS J05581116-7041234| 89.54669 | -70.68984 |VisS|  5996| 0.020000 |PHOT|14.3V|  0.000|1|0|0|0|1|0|0
